# vanilla pool from sets [M10, M11, M12, M13, M14, M15] - 538 distinct creature names scanned
POOL	Fugitive Wizard	1	1
POOL	Maritime Guard	1	3
POOL	Horned Turtle	1	4
POOL	Bronze Sable	2	1
POOL	Runeclaw Bear	2	2
POOL	Armored Warhorse	2	3
POOL	Amphin Cutthroat	2	4
POOL	Armored Cancrix	2	5
POOL	Oreskos Swiftclaw	3	1
POOL	Barony Vampire	3	2
POOL	Canyon Minotaur	3	3
POOL	Siege Mastodon	3	5
POOL	Regathan Firecat	4	1
POOL	Nether Horror	4	2
POOL	Zombie Goliath	4	3
POOL	Bonebreaker Giant	4	4
POOL	Fire Elemental	5	4
