# id	label	value	aLife	aFiller	aBodies	bLife	bFiller	bBodies	rootOpts	classes	optClasses	randA	replays	secs	heur
INST	T1.GEN.7	DEAD	0	2	4	Regathan Firecat	4	5	Bronze Sable;Runeclaw Bear	2	2	-|Regathan Firecat	-	81	3.9	allin=1,never=1,bodycount=1,safeattack=1
INST	T1.GEN.17	DEAD	0	5	4	Nether Horror	1	4	Nether Horror;Zombie Goliath*	2	2	-|Nether Horror	-	205	5.0	allin=1,never=1,bodycount=1,safeattack=1
INST	T1.GEN.30	TRIVIAL	1	1	4	Oreskos Swiftclaw	1	3	Maritime Guard	2	2	-|Oreskos Swiftclaw	-	36	0.7	allin=1,never=1,bodycount=1,safeattack=1
INST	T1.GEN.40	TRIVIAL	1	2	4	Armored Cancrix;Horned Turtle;Zombie Goliath	2	5	Barony Vampire*;Fugitive Wizard*	8	8	-|Armored Cancrix|Armored Cancrix;Horned Turtle|Armored Cancrix;Horned Turtle;Zombie Goliath|Armored Cancrix;Zombie Goliath|Horned Turtle|Horned Turtle;Zombie Goliath|Zombie Goliath	-	2909	63.8	allin=1,never=1,bodycount=1,safeattack=1
INST	T1.GEN.54	CAPPED	1	6	4	Amphin Cutthroat;Armored Cancrix;Barony Vampire	5	6	Nether Horror;Zombie Goliath*	8	8		-	8000	177.4	allin=0,never=0,bodycount=0,safeattack=0
INST	T1.GEN.69	DEAD	0	1	3	Amphin Cutthroat;Armored Warhorse	3	5	Maritime Guard	4	4	-|Amphin Cutthroat|Amphin Cutthroat;Armored Warhorse|Armored Warhorse	-	3261	62.2	allin=1,never=1,bodycount=1,safeattack=1
INST	T1.GEN.80	TRIVIAL	1	1	6	Regathan Firecat;Zombie Goliath	3	4	Fire Elemental	4	4	-|Regathan Firecat|Regathan Firecat;Zombie Goliath|Zombie Goliath	-	81	1.4	allin=1,never=1,bodycount=1,safeattack=1
INST	T1.GEN.91	TRIVIAL	1	1	6	Armored Warhorse;Bronze Sable;Runeclaw Bear	3	4	Amphin Cutthroat	8	8	-|Armored Warhorse|Armored Warhorse;Bronze Sable|Armored Warhorse;Bronze Sable;Runeclaw Bear|Armored Warhorse;Runeclaw Bear|Bronze Sable|Bronze Sable;Runeclaw Bear|Runeclaw Bear	-	1289	26.2	allin=1,never=1,bodycount=1,safeattack=1
INST	T1.GEN.101	MULTI	1	1	4	Bonebreaker Giant;Maritime Guard	3	3	Bronze Sable*;Horned Turtle	4	4	-|Bonebreaker Giant	-	327	6.0	allin=0,never=1,bodycount=0,safeattack=0
INST	T1.GEN.112	DEAD	0	1	3	Bonebreaker Giant;Regathan Firecat	7	5	Barony Vampire*;Horned Turtle	4	4	-|Bonebreaker Giant|Bonebreaker Giant;Regathan Firecat|Regathan Firecat	-	1615	30.0	allin=1,never=1,bodycount=1,safeattack=1
INST	T1.GEN.123	CAPPED	1	4	4	Runeclaw Bear;Runeclaw Bear;Zombie Goliath	8	5	Fire Elemental	8	6	-|Runeclaw Bear;Runeclaw Bear|Runeclaw Bear;Zombie Goliath|Zombie Goliath	-	8000	167.5	allin=0,never=1,bodycount=0,safeattack=1
INST	T1.GEN.127	DEAD	0	6	3	Barony Vampire;Bonebreaker Giant	1	4	Armored Cancrix;Fire Elemental	4	4	-|Barony Vampire|Barony Vampire;Bonebreaker Giant|Bonebreaker Giant	-	949	18.3	allin=1,never=1,bodycount=1,safeattack=1
INST	T1.GEN.133	MULTI	1	1	5	Armored Warhorse;Bonebreaker Giant;Canyon Minotaur	6	4	Oreskos Swiftclaw;Regathan Firecat	8	8	-|Armored Warhorse|Armored Warhorse;Bonebreaker Giant|Bonebreaker Giant|Bonebreaker Giant;Canyon Minotaur|Canyon Minotaur	-	1473	29.5	allin=0,never=1,bodycount=0,safeattack=1
INST	T1.GEN.140	SWING	1	2	3	Zombie Goliath;Zombie Goliath	8	4	Horned Turtle;Regathan Firecat*	4	3	Zombie Goliath	0.465	2594	48.3	allin=0,never=0,bodycount=0,safeattack=0
INST	T1.GEN.151	DEAD	0	4	5	Bronze Sable	1	6	Armored Warhorse;Oreskos Swiftclaw*	2	2	-|Bronze Sable	-	103	2.1	allin=1,never=1,bodycount=1,safeattack=1
INST	T1.GEN.155	TRIVIAL	1	5	4	Armored Cancrix;Nether Horror	6	4	Runeclaw Bear;Siege Mastodon*	4	4	-|Armored Cancrix|Armored Cancrix;Nether Horror|Nether Horror	-	3467	69.9	allin=1,never=1,bodycount=1,safeattack=1
INST	T1.GEN.161	TRIVIAL	1	2	6	Runeclaw Bear	1	6	Regathan Firecat*	2	2	-|Runeclaw Bear	-	64	1.2	allin=1,never=1,bodycount=1,safeattack=1
INST	T1.GEN.171	HOLD	1	3	6	Amphin Cutthroat;Bronze Sable	3	5	Fire Elemental	4	4	-	0.315	1075	22.0	allin=0,never=1,bodycount=0,safeattack=1
