1789270679,1,32,872,0.0938,0.0024,nan,0.000,5.00
1789270704,2,64,983,0.2812,0.0179,nan,0.000,3.50
1789270744,3,96,939,0.0625,0.0587,nan,0.000,5.48
1789270828,4,128,1719,0.0000,0.1123,nan,0.000,10.99
1789270973,5,160,2171,0.0000,-0.7648,nan,0.000,29.09
1789271101,6,192,2153,0.0000,-0.1978,nan,0.000,28.63
1789271233,7,224,2126,0.0938,0.0356,nan,0.000,29.30
1789271362,8,256,2233,0.0000,0.0251,nan,0.000,25.95
1789271450,9,288,1932,0.5312,0.0102,nan,0.000,26.93
1789271500,10,320,1712,0.5625,0.0526,nan,0.000,9.64
1789271558,11,352,1492,0.8438,0.0349,nan,0.000,23.32
1789271622,12,384,1580,0.7812,0.0490,nan,0.000,28.27
1789271691,13,416,1466,0.7812,-0.0401,nan,0.000,33.28
1789271744,14,448,1320,0.7188,0.0115,nan,0.000,22.24
1789271793,15,480,1221,0.9062,0.0918,nan,0.000,19.86
1789271851,16,512,1308,0.9375,0.1913,nan,0.000,20.45
1789272582,17,544,1265,0.8125,0.0345,nan,0.000,18.62
1789272632,18,576,1262,0.8438,0.0584,nan,0.000,18.79
1789272678,19,608,1282,0.8125,0.0307,nan,0.000,17.65
1789272725,20,640,1291,0.8125,0.0727,nan,0.000,19.02
1789272770,21,672,1266,0.8438,-0.0158,nan,0.000,17.50
1789272813,22,704,1246,0.8125,0.0245,nan,0.000,17.64
1789272863,23,736,1379,0.7812,0.0710,nan,0.000,20.24
1789272908,24,768,1319,0.9062,0.1575,nan,0.000,18.26
1789272960,25,800,1312,0.8438,0.1130,nan,0.000,19.95
1789273021,26,832,1569,0.7812,0.0658,nan,0.000,22.98
1789273073,27,864,1415,0.8438,0.1310,nan,0.000,18.51
1789273126,28,896,1431,0.7812,0.1570,nan,0.000,21.87
1789273179,29,928,1419,0.8125,0.0700,nan,0.000,21.14
1789273228,30,960,1390,0.8750,0.0504,nan,0.000,20.45
1789273277,31,992,1343,0.9062,0.0610,nan,0.000,19.12
1789273317,32,1024,1189,0.8438,0.1002,nan,0.000,17.13
1789274579,33,1056,1336,0.8438,0.1351,nan,0.000,7.60
1789274633,34,1088,1425,0.8438,0.1697,nan,0.000,20.88
1789274689,35,1120,1323,0.9062,0.2935,nan,0.000,20.23
1789274733,36,1152,1312,0.6875,0.1174,nan,0.000,16.58
1789274777,37,1184,1298,0.6875,0.2480,nan,0.000,15.23
1789274829,38,1216,1455,0.8438,0.0003,nan,0.000,21.47
1789274874,39,1248,1225,0.7188,0.1067,nan,0.000,19.08
1789274922,40,1280,1275,0.7188,0.1174,nan,0.000,19.00
1789274964,41,1312,1163,0.5625,0.0978,nan,0.000,16.94
1789275001,42,1344,1098,0.8438,0.1631,nan,0.000,15.62
1789275040,43,1376,1079,0.6562,0.1567,nan,0.000,15.35
1789275081,44,1408,1227,0.7188,0.0963,nan,0.000,16.43
1789275121,45,1440,1134,0.5625,0.0723,nan,0.000,15.87
1789275163,46,1472,1285,0.6250,0.1068,nan,0.000,15.94
1789275203,47,1504,1122,0.6562,0.1659,nan,0.000,16.03
1789275248,48,1536,1284,0.7188,0.0986,nan,0.000,18.43
1789275927,49,1568,1198,0.7188,0.1789,nan,0.000,18.06
1789275964,50,1600,1242,0.7812,0.0873,nan,0.000,10.88
1789276017,51,1632,1355,0.8125,0.1598,nan,0.000,20.27
1789276068,52,1664,1497,0.9688,-0.4539,nan,0.000,20.01
1789276124,53,1696,1473,0.8750,0.1413,nan,0.000,21.65
1789276178,54,1728,1447,0.8438,0.1135,nan,0.000,21.78
1789276234,55,1760,1508,0.8750,0.1244,nan,0.000,20.60
1789276290,56,1792,1535,0.9062,0.0679,nan,0.000,22.13
1789276349,57,1824,1568,0.8750,0.1268,nan,0.000,23.15
1789276407,58,1856,1636,0.8750,0.0511,nan,0.000,23.35
1789276462,59,1888,1452,0.9062,0.1109,nan,0.000,21.83
1789276513,60,1920,1399,0.7188,0.0641,nan,0.000,21.53
1789276560,61,1952,1300,0.8125,0.1104,nan,0.000,19.17
1789276603,62,1984,1244,0.6875,0.1711,nan,0.000,17.93
1789276645,63,2016,1121,0.7812,0.2482,nan,0.000,16.74
1789276688,64,2048,1287,0.9062,0.0961,nan,0.000,17.99
