1786550307,1,632,4944,0.5312
1786550377,2,664,4737,0.4375
1786550473,3,696,5302,0.3750
1786550547,4,728,4966,0.2812
1786550649,5,760,5008,0.4375
1786550723,6,792,5059,0.5000
1786550814,7,824,4865,0.4375
1786550887,8,856,5069,0.4688
1786551315,9,888,5112,0.3125
1786551387,10,920,4984,0.3750
1786551479,11,952,4727,0.3750
1786551548,12,984,4333,0.2188
1786551639,13,1016,4832,0.4375
1786551711,14,1048,4782,0.2812
1786551796,15,1080,4017,0.4062
1786551864,16,1112,4329,0.1875
1786552296,17,1144,5332,0.4375
1786552369,18,1176,4626,0.3438
1786552456,19,1208,3899,0.2812
1786552530,20,1240,4152,0.4062
1786552613,21,1272,3992,0.2812
1786552681,22,1304,4220,0.3438
1786552780,23,1336,4989,0.3125
1786552852,24,1368,4844,0.3125
1786553269,25,1400,5112,0.2500
1786553346,26,1432,4950,0.3438
1786553444,27,1464,4797,0.3750
1786553520,28,1496,4730,0.4062
1786553624,29,1528,4928,0.4375
1786553703,30,1560,4864,0.3750
1786553788,31,1592,4088,0.5000
1786553857,32,1624,4004,0.5000
