TASKC|arm=e0|seed=2|trained=512|eval=pool_512|deck=BenchBurn.dck,BenchControl.dck,BenchMidrange.dck,BenchDimir.dck|win_rate=0.4900|stalls=3
TASKC|arm=e0|seed=2|trained=1024|eval=pool_1024|deck=BenchBurn.dck,BenchControl.dck,BenchMidrange.dck,BenchDimir.dck|win_rate=0.5100|stalls=6
TASKC|arm=e0|seed=2|trained=1344|eval=indist_burn|deck=BenchBurn.dck|win_rate=0.7500|stalls=0
TASKC|arm=e0|seed=2|trained=1344|eval=indist_midrange|deck=BenchMidrange.dck|win_rate=0.4200|stalls=0
TASKC|arm=e0|seed=2|trained=1344|eval=indist_dimir|deck=BenchDimir.dck|win_rate=0.6500|stalls=0
TASKC|arm=e0|seed=2|trained=1344|eval=indist_control|deck=BenchControl.dck|win_rate=0.0600|stalls=20
TASKC|arm=e0|seed=2|trained=1344|eval=zs_burn_a|deck=HoldoutBurn.dck|win_rate=0.4200|stalls=0
TASKC|arm=e0|seed=2|trained=1344|eval=zs_burn_b|deck=HoldoutBurn.dck|win_rate=0.4900|stalls=0
TASKC|arm=e0|seed=2|trained=1344|eval=zs_midrange_a|deck=HoldoutMidrange.dck|win_rate=0.4400|stalls=0
TASKC|arm=e0|seed=2|trained=1344|eval=zs_midrange_b|deck=HoldoutMidrange.dck|win_rate=0.4600|stalls=0
TASKC|arm=e0|seed=2|trained=1344|eval=zs_control_a|deck=HoldoutControl.dck|win_rate=0.2400|stalls=14
TASKC|arm=e0|seed=2|trained=1344|eval=zs_control_b|deck=HoldoutControl.dck|win_rate=0.1900|stalls=18
