TASKC|arm=e0|seed=1|trained=512|eval=pool_512|deck=BenchBurn.dck,BenchControl.dck,BenchMidrange.dck,BenchDimir.dck|win_rate=0.3700|stalls=6
TASKC|arm=e0|seed=1|trained=1024|eval=pool_1024|deck=BenchBurn.dck,BenchControl.dck,BenchMidrange.dck,BenchDimir.dck|win_rate=0.3900|stalls=9
TASKC|arm=e0|seed=1|trained=1344|eval=indist_burn|deck=BenchBurn.dck|win_rate=0.4100|stalls=0
TASKC|arm=e0|seed=1|trained=1344|eval=indist_midrange|deck=BenchMidrange.dck|win_rate=0.4400|stalls=0
TASKC|arm=e0|seed=1|trained=1344|eval=indist_dimir|deck=BenchDimir.dck|win_rate=0.5700|stalls=0
TASKC|arm=e0|seed=1|trained=1344|eval=indist_control|deck=BenchControl.dck|win_rate=0.1400|stalls=27
TASKC|arm=e0|seed=1|trained=1344|eval=zs_burn_a|deck=HoldoutBurn.dck|win_rate=0.6700|stalls=0
TASKC|arm=e0|seed=1|trained=1344|eval=zs_burn_b|deck=HoldoutBurn.dck|win_rate=0.7300|stalls=0
TASKC|arm=e0|seed=1|trained=1344|eval=zs_midrange_a|deck=HoldoutMidrange.dck|win_rate=0.4000|stalls=0
TASKC|arm=e0|seed=1|trained=1344|eval=zs_midrange_b|deck=HoldoutMidrange.dck|win_rate=0.3900|stalls=0
TASKC|arm=e0|seed=1|trained=1344|eval=zs_control_a|deck=HoldoutControl.dck|win_rate=0.4400|stalls=15
TASKC|arm=e0|seed=1|trained=1344|eval=zs_control_b|deck=HoldoutControl.dck|win_rate=0.4700|stalls=12
