p7_0	D0	0	0	100
p7_0	D1	0	0	100
p7_0	D1h	0	0	100
p7_256	D0	5	0	100
p7_256	D1	3	0	100
p7_256	D1h	2	0	100
p7_512	D0	35	0	100
p7_512	D1	20	0	100
p7_512	D1h	23	0	100
p7_768	D0	36	0	100
p7_768	D1	22	0	100
p7_768	D1h	27	0	100
p7_1024	D0	43	0	100
p7_1024	D1	25	0	100
p7_1024	D1h	26	0	100
p7_1280	D0	48	0	100
p7_1280	D1	33	0	100
p7_1280	D1h	36	0	100
p7_1536	D0	56	0	100
p7_1536	D1	37	0	100
p7_1536	D1h	34	0	100
p7_1792	D0	57	0	100
p7_1792	D1	37	0	100
p7_1792	D1h	37	0	100
p7_2048	D0	58	0	100
p7_2048	D1	38	0	100
p7_2048	D1h	38	0	100
p7_2304	D0	63	0	100
p7_2304	D1	47	0	100
p7_2304	D1h	43	0	100
p7_2560	D0	63	0	100
p7_2560	D1	44	0	100
p7_2560	D1h	44	0	100
p7_4096	D0	64	0	100
p7_4096	D1	47	0	100
p7_4096	D1h	52	0	100
p7_6144	D0	67	0	100
p7_6144	D1	50	0	100
p7_6144	D1h	49	0	100
p7_8192	D0	69	0	100
p7_8192	D1	42	0	100
p7_8192	D1h	47	0	100
