P4D1|arm=e0|seed=0|trained=256|eval=pool_256|deck=BenchBurn.dck,BenchControl.dck,BenchMidrange.dck,BenchDimir.dck|win_rate=0.3000|stalls=6
P4D1|arm=e0|seed=0|trained=512|eval=pool_512|deck=BenchBurn.dck,BenchControl.dck,BenchMidrange.dck,BenchDimir.dck|win_rate=0.3700|stalls=7
P4D1|arm=e0|seed=0|trained=1024|eval=pool_1024|deck=BenchBurn.dck,BenchControl.dck,BenchMidrange.dck,BenchDimir.dck|win_rate=0.4200|stalls=10
P4D1|arm=e0|seed=0|trained=1280|eval=pool_1280|deck=BenchBurn.dck,BenchControl.dck,BenchMidrange.dck,BenchDimir.dck|win_rate=0.4000|stalls=9
P4D1|arm=e0|seed=0|trained=1280|eval=indist_burn|deck=BenchBurn.dck|win_rate=0.5700|stalls=0
P4D1|arm=e0|seed=0|trained=1280|eval=indist_dimir|deck=BenchDimir.dck|win_rate=0.2800|stalls=0
P4D1|arm=e0|seed=0|trained=1280|eval=indist_midrange|deck=BenchMidrange.dck|win_rate=0.4000|stalls=0
P4D1|arm=e0|seed=0|trained=1280|eval=indist_control|deck=BenchControl.dck|win_rate=0.1700|stalls=37
P4D1|arm=e0|seed=0|trained=1280|eval=zs_burn_a|deck=HoldoutBurn.dck|win_rate=0.5200|stalls=0
P4D1|arm=e0|seed=0|trained=1280|eval=zs_burn_b|deck=HoldoutBurn.dck|win_rate=0.6400|stalls=0
P4D1|arm=e0|seed=0|trained=1280|eval=zs_midrange_a|deck=HoldoutMidrange.dck|win_rate=0.3200|stalls=0
P4D1|arm=e0|seed=0|trained=1280|eval=zs_midrange_b|deck=HoldoutMidrange.dck|win_rate=0.3600|stalls=0
P4D1|arm=e0|seed=0|trained=1280|eval=zs_control_a|deck=HoldoutControl.dck|win_rate=0.3600|stalls=33
P4D1|arm=e0|seed=0|trained=1280|eval=zs_control_b|deck=HoldoutControl.dck|win_rate=0.2800|stalls=33
