set	game	file	r	turns	lands	own_turns	attack_turns	precombat_drops_on_attack_turns	drops_on_attack_turns	lf_can_turns	lf_attack_turns	blk_pairs	blk_small
drill_M_L_n022_t05888	0	rec_drill_M_L_n022_t05888.jsonl	1.0	11	5	6	4	3	3	4	4	1	0
drill_M_L_n022_t05888	1	rec_drill_M_L_n022_t05888.jsonl	-1.0	15	7	7	5	5	5	5	5	2	2
drill_M_L_n022_t05888	2	rec_drill_M_L_n022_t05888.jsonl	1.0	15	7	8	5	4	4	5	5	6	2
drill_M_L_n022_t05888	3	rec_drill_M_L_n022_t05888.jsonl	-1.0	13	4	6	5	3	3	5	5	1	1
drill_M_L_n022_t05888	4	rec_drill_M_L_n022_t05888.jsonl	1.0	11	6	6	4	4	4	4	4	0	0
drill_M_L_n022_t05888	5	rec_drill_M_L_n022_t05888.jsonl	1.0	16	4	8	7	3	3	7	7	3	0
drill_M_L_n022_t05888	6	rec_drill_M_L_n022_t05888.jsonl	-1.0	10	2	5	4	1	1	4	4	2	2
drill_M_L_n022_t05888	7	rec_drill_M_L_n022_t05888.jsonl	1.0	24	7	12	6	1	1	6	6	7	6
drill_M_L_n022_t05888	8	rec_drill_M_L_n022_t05888.jsonl	-1.0	12	3	6	4	2	2	4	4	0	0
drill_M_L_n022_t05888	9	rec_drill_M_L_n022_t05888.jsonl	1.0	14	7	7	5	5	5	5	5	2	1
drill_M_L_n022_t05888	10	rec_drill_M_L_n022_t05888.jsonl	1.0	9	3	5	4	2	2	4	4	1	1
drill_M_L_n022_t05888	11	rec_drill_M_L_n022_t05888.jsonl	-1.0	13	4	6	4	2	2	4	4	1	1
drill_M_L_n022_t05888	12	rec_drill_M_L_n022_t05888.jsonl	1.0	11	5	6	4	3	3	4	4	2	2
drill_M_L_n022_t05888	13	rec_drill_M_L_n022_t05888.jsonl	-1.0	9	4	4	2	2	2	2	2	1	1
drill_M_L_n022_t05888	14	rec_drill_M_L_n022_t05888.jsonl	1.0	9	5	5	4	4	4	4	4	0	0
drill_M_L_n022_t05888	15	rec_drill_M_L_n022_t05888.jsonl	1.0	10	5	5	3	3	3	3	3	0	0
drill_M_L_n022_t05888	16	rec_drill_M_L_n022_t05888.jsonl	1.0	11	4	6	4	2	2	4	4	1	0
drill_M_L_n022_t05888	17	rec_drill_M_L_n022_t05888.jsonl	1.0	12	4	6	5	3	3	5	5	0	0
drill_M_L_n022_t05888	18	rec_drill_M_L_n022_t05888.jsonl	1.0	13	5	7	6	4	4	6	6	1	1
drill_M_L_n022_t05888	19	rec_drill_M_L_n022_t05888.jsonl	1.0	12	6	6	4	4	4	4	4	0	0
drill_M_L_n022_t05888	20	rec_drill_M_L_n022_t05888.jsonl	1.0	13	5	7	5	3	3	5	5	1	0
drill_M_L_n022_t05888	21	rec_drill_M_L_n022_t05888.jsonl	-1.0	11	5	5	3	3	3	3	3	1	1
drill_M_L_n022_t05888	22	rec_drill_M_L_n022_t05888.jsonl	1.0	13	7	7	6	6	6	6	6	0	0
drill_M_L_n022_t05888	23	rec_drill_M_L_n022_t05888.jsonl	-1.0	13	5	6	4	3	3	4	4	3	1
drill_M_L_n022_t05888	24	rec_drill_M_L_n022_t05888.jsonl	1.0	11	4	6	5	3	3	5	5	0	0
drill_M_L_n022_t05888	25	rec_drill_M_L_n022_t05888.jsonl	-1.0	13	3	6	4	2	2	4	4	2	0
drill_M_L_n022_t05888	26	rec_drill_M_L_n022_t05888.jsonl	1.0	13	5	7	5	3	3	5	5	2	2
drill_M_L_n022_t05888	27	rec_drill_M_L_n022_t05888.jsonl	1.0	12	5	6	4	3	3	4	4	1	1
drill_M_L_n022_t05888	28	rec_drill_M_L_n022_t05888.jsonl	1.0	15	6	8	5	3	3	5	5	2	2
drill_M_L_n022_t05888	29	rec_drill_M_L_n022_t05888.jsonl	-1.0	11	5	5	3	3	3	3	3	3	2
drill_M_L_n022_t05888	30	rec_drill_M_L_n022_t05888.jsonl	-1.0	10	5	5	3	3	3	3	3	2	2
drill_M_L_n022_t05888	31	rec_drill_M_L_n022_t05888.jsonl	1.0	12	6	6	4	4	4	4	4	0	0
drill_M_L_n022_t05888	32	rec_drill_M_L_n022_t05888.jsonl	1.0	13	5	7	5	3	3	5	5	1	1
drill_M_L_n022_t05888	33	rec_drill_M_L_n022_t05888.jsonl	-1.0	11	5	5	3	3	3	3	3	0	0
drill_M_L_n022_t05888	34	rec_drill_M_L_n022_t05888.jsonl	-1.0	14	6	7	6	5	5	6	6	2	1
drill_M_L_n022_t05888	35	rec_drill_M_L_n022_t05888.jsonl	1.0	14	4	7	5	2	2	5	5	3	2
drill_M_L_n022_t05888	36	rec_drill_M_L_n022_t05888.jsonl	1.0	11	5	6	3	2	2	3	3	0	0
drill_M_L_n022_t05888	37	rec_drill_M_L_n022_t05888.jsonl	-1.0	13	6	6	2	2	2	2	2	4	4
drill_M_L_n022_t05888	38	rec_drill_M_L_n022_t05888.jsonl	1.0	11	5	6	5	4	4	5	5	0	0
drill_M_L_n022_t05888	39	rec_drill_M_L_n022_t05888.jsonl	1.0	14	6	7	6	5	5	6	6	2	0
drill_M_L_n022_t05888	40	rec_drill_M_L_n022_t05888.jsonl	1.0	11	5	6	4	3	3	4	4	0	0
drill_M_L_n022_t05888	41	rec_drill_M_L_n022_t05888.jsonl	-1.0	17	4	8	7	3	3	7	7	4	4
drill_M_L_n022_t05888	42	rec_drill_M_L_n022_t05888.jsonl	1.0	11	6	6	5	5	5	5	5	1	0
drill_M_L_n022_t05888	43	rec_drill_M_L_n022_t05888.jsonl	-1.0	13	4	6	4	2	2	4	4	1	1
drill_M_L_n022_t05888	44	rec_drill_M_L_n022_t05888.jsonl	-1.0	14	4	7	5	2	2	5	5	1	0
drill_M_L_n022_t05888	45	rec_drill_M_L_n022_t05888.jsonl	-1.0	11	3	5	2	1	1	2	2	1	0
drill_M_L_n022_t05888	46	rec_drill_M_L_n022_t05888.jsonl	-1.0	22	7	11	6	3	3	6	6	3	0
drill_M_L_n022_t05888	47	rec_drill_M_L_n022_t05888.jsonl	1.0	14	4	7	5	2	2	5	5	2	0
drill_M_L_n022_t05888	48	rec_drill_M_L_n022_t05888.jsonl	1.0	21	7	11	10	6	6	10	10	0	0
drill_M_L_n022_t05888	49	rec_drill_M_L_n022_t05888.jsonl	-1.0	15	4	7	5	2	2	5	5	1	1
