set	game	file	r	turns	creatures	first_creature_own_turn	lands_by4	lands	nin_windows	nin_taken	nin_opp_turns	flash_inst_off	flash_inst_taken	ctr_off	ctr_taken	rem_n	rem_best	selfrem_off	selfrem_taken	rh_blight
drill_M_D_n015_t05632	0	rec_drill_M_D_n015_t05632.jsonl	1.0	15	2	0	4	4	0	0	0	20	1	3	2	1	1	0	0	0
drill_M_D_n015_t05632	1	rec_drill_M_D_n015_t05632.jsonl	1.0	16	3	2	4	6	0	0	0	48	2	2	2	0	0	0	0	0
drill_M_D_n015_t05632	2	rec_drill_M_D_n015_t05632.jsonl	-1.0	18	4	1	4	4	0	0	0	24	1	5	3	0	0	1	1	1
drill_M_D_n015_t05632	3	rec_drill_M_D_n015_t05632.jsonl	-1.0	21	3	2	4	7	0	0	0	12	1	4	3	1	1	1	1	1
drill_M_D_n015_t05632	4	rec_drill_M_D_n015_t05632.jsonl	1.0	43	1	16	3	13	0	0	0	197	0	2	2	0	0	1	1	1
drill_M_D_n015_t05632	5	rec_drill_M_D_n015_t05632.jsonl	1.0	26	3	1	4	6	0	0	0	158	3	4	1	2	1	0	0	1
drill_M_D_n015_t05632	6	rec_drill_M_D_n015_t05632.jsonl	1.0	23	6	0	2	5	0	0	0	38	3	0	0	0	0	1	1	0
drill_M_D_n015_t05632	7	rec_drill_M_D_n015_t05632.jsonl	1.0	22	1	4	4	9	2	2	0	106	0	3	0	0	0	1	1	1
drill_M_D_n015_t05632	8	rec_drill_M_D_n015_t05632.jsonl	1.0	35	4	2	2	4	0	0	0	117	1	2	2	1	0	3	1	1
drill_M_D_n015_t05632	9	rec_drill_M_D_n015_t05632.jsonl	1.0	14	3	3	4	7	0	0	0	28	2	0	0	0	0	0	0	0
drill_M_D_n015_t05632	10	rec_drill_M_D_n015_t05632.jsonl	1.0	17	2	2	4	4	0	0	0	19	0	2	2	1	1	1	1	1
drill_M_D_n015_t05632	11	rec_drill_M_D_n015_t05632.jsonl	1.0	18	3	3	4	4	0	0	0	51	0	0	0	1	1	0	0	0
drill_M_D_n015_t05632	12	rec_drill_M_D_n015_t05632.jsonl	-1.0	18	2	5	3	4	0	0	0	56	1	0	0	0	0	0	0	0
drill_M_D_n015_t05632	13	rec_drill_M_D_n015_t05632.jsonl	1.0	26	2	6	1	4	0	0	0	64	1	2	1	1	1	4	2	1
drill_M_D_n015_t05632	14	rec_drill_M_D_n015_t05632.jsonl	-1.0	24	3	2	4	7	0	0	0	102	3	1	1	1	1	2	1	1
drill_M_D_n015_t05632	15	rec_drill_M_D_n015_t05632.jsonl	-1.0	29	3	7	2	9	1	1	0	118	2	4	1	3	3	0	0	1
drill_M_D_n015_t05632	16	rec_drill_M_D_n015_t05632.jsonl	-1.0	24	4	0	1	2	0	0	0	59	1	1	1	0	0	2	2	1
drill_M_D_n015_t05632	17	rec_drill_M_D_n015_t05632.jsonl	-1.0	19	4	1	4	6	0	0	0	78	1	3	2	1	0	0	0	0
drill_M_D_n015_t05632	18	rec_drill_M_D_n015_t05632.jsonl	1.0	33	5	1	5	12	0	0	0	200	2	1	1	2	2	5	1	2
