set	game	file	r	turns	creatures	first_creature_own_turn	lands_by4	lands	nin_windows	nin_taken	nin_opp_turns	flash_inst_off	flash_inst_taken	ctr_off	ctr_taken	rem_n	rem_best	selfrem_off	selfrem_taken	rh_blight
drill_M_D_n012_t05376	0	rec_drill_M_D_n012_t05376.jsonl	-1.0	14	3	3	3	4	0	0	0	2	2	2	2	1	1	0	0	0
drill_M_D_n012_t05376	1	rec_drill_M_D_n012_t05376.jsonl	-1.0	17	4	2	4	6	0	0	0	16	3	4	3	1	0	0	0	1
drill_M_D_n012_t05376	2	rec_drill_M_D_n012_t05376.jsonl	1.0	29	6	1	4	7	0	0	0	12	1	8	8	0	0	1	1	1
drill_M_D_n012_t05376	3	rec_drill_M_D_n012_t05376.jsonl	1.0	22	3	2	4	8	0	0	0	2	2	2	2	2	2	0	0	1
drill_M_D_n012_t05376	4	rec_drill_M_D_n012_t05376.jsonl	1.0	37	3	12	3	12	0	0	0	123	1	2	2	0	0	1	1	1
drill_M_D_n012_t05376	5	rec_drill_M_D_n012_t05376.jsonl	1.0	20	5	1	4	6	0	0	0	12	4	4	3	2	1	0	0	1
drill_M_D_n012_t05376	6	rec_drill_M_D_n012_t05376.jsonl	1.0	25	6	0	2	7	0	0	0	64	3	0	0	1	1	1	1	1
drill_M_D_n012_t05376	7	rec_drill_M_D_n012_t05376.jsonl	1.0	18	4	4	4	9	1	1	0	23	3	2	1	0	0	3	1	1
drill_M_D_n012_t05376	8	rec_drill_M_D_n012_t05376.jsonl	-1.0	16	3	2	2	2	0	0	0	6	3	0	0	2	2	0	0	0
drill_M_D_n012_t05376	9	rec_drill_M_D_n012_t05376.jsonl	1.0	20	6	3	4	9	0	0	0	6	5	0	0	1	1	1	1	1
drill_M_D_n012_t05376	10	rec_drill_M_D_n012_t05376.jsonl	1.0	17	3	2	4	4	0	0	0	3	2	0	0	2	2	1	1	1
drill_M_D_n012_t05376	11	rec_drill_M_D_n012_t05376.jsonl	1.0	16	4	4	4	5	0	0	0	18	2	0	0	0	0	1	1	0
drill_M_D_n012_t05376	12	rec_drill_M_D_n012_t05376.jsonl	1.0	17	3	2	3	4	1	1	1	3	2	1	1	1	1	0	0	0
drill_M_D_n012_t05376	13	rec_drill_M_D_n012_t05376.jsonl	1.0	34	5	6	1	7	0	0	0	13	3	4	3	1	1	0	0	1
drill_M_D_n012_t05376	14	rec_drill_M_D_n012_t05376.jsonl	1.0	15	4	2	5	8	0	0	0	25	3	2	1	1	1	2	2	2
drill_M_D_n012_t05376	15	rec_drill_M_D_n012_t05376.jsonl	1.0	22	5	5	2	7	0	0	0	4	3	3	3	4	4	0	0	1
drill_M_D_n012_t05376	16	rec_drill_M_D_n012_t05376.jsonl	-1.0	31	9	0	1	6	0	0	0	14	5	1	1	2	1	2	2	2
drill_M_D_n012_t05376	17	rec_drill_M_D_n012_t05376.jsonl	-1.0	17	3	1	4	6	0	0	0	21	1	3	3	1	0	0	0	0
drill_M_D_n012_t05376	18	rec_drill_M_D_n012_t05376.jsonl	-1.0	22	5	1	5	8	0	0	0	5	3	1	1	2	2	0	0	1
drill_M_D_n012_t05376	19	rec_drill_M_D_n012_t05376.jsonl	1.0	24	6	1	2	5	0	0	0	3	3	4	3	3	3	0	0	1
drill_M_D_n012_t05376	20	rec_drill_M_D_n012_t05376.jsonl	1.0	17	3	4	5	8	0	0	0	21	3	0	0	0	0	0	0	0
drill_M_D_n012_t05376	21	rec_drill_M_D_n012_t05376.jsonl	1.0	29	7	2	4	13	0	0	0	9	4	2	1	1	1	1	1	1
drill_M_D_n012_t05376	22	rec_drill_M_D_n012_t05376.jsonl	1.0	19	8	2	3	5	0	0	0	6	5	0	0	1	0	1	1	1
drill_M_D_n012_t05376	23	rec_drill_M_D_n012_t05376.jsonl	1.0	22	7	4	3	6	1	0	2	32	7	4	2	1	1	1	1	0
drill_M_D_n012_t05376	24	rec_drill_M_D_n012_t05376.jsonl	-1.0	20	7	1	5	6	0	0	0	13	3	5	5	1	1	0	0	0
drill_M_D_n012_t05376	25	rec_drill_M_D_n012_t05376.jsonl	-1.0	17	6	2	4	8	0	0	0	7	1	0	0	1	1	1	1	2
drill_M_D_n012_t05376	26	rec_drill_M_D_n012_t05376.jsonl	-1.0	18	4	4	5	9	0	0	0	14	3	0	0	0	0	1	1	1
drill_M_D_n012_t05376	27	rec_drill_M_D_n012_t05376.jsonl	-1.0	17	3	6	2	5	0	0	0	4	3	0	0	2	1	0	0	0
drill_M_D_n012_t05376	28	rec_drill_M_D_n012_t05376.jsonl	-1.0	20	4	0	3	6	0	0	0	2	2	1	1	0	0	1	1	1
drill_M_D_n012_t05376	29	rec_drill_M_D_n012_t05376.jsonl	-1.0	15	1	7	4	6	0	0	1	1	1	0	0	0	0	0	0	0
drill_M_D_n012_t05376	30	rec_drill_M_D_n012_t05376.jsonl	-1.0	22	1	4	5	7	0	0	0	11	0	1	1	0	0	1	1	1
drill_M_D_n012_t05376	31	rec_drill_M_D_n012_t05376.jsonl	1.0	12	2	2	4	6	1	1	1	0	0	3	3	0	0	0	0	0
drill_M_D_n012_t05376	32	rec_drill_M_D_n012_t05376.jsonl	1.0	11	4	1	5	6	1	1	1	2	2	2	2	0	0	0	0	0
drill_M_D_n012_t05376	33	rec_drill_M_D_n012_t05376.jsonl	1.0	16	1	5	4	6	0	0	0	2	1	0	0	1	1	2	2	2
drill_M_D_n012_t05376	34	rec_drill_M_D_n012_t05376.jsonl	-1.0	16	5	2	3	4	0	0	0	9	2	1	1	0	0	1	1	1
drill_M_D_n012_t05376	35	rec_drill_M_D_n012_t05376.jsonl	1.0	14	5	1	4	4	0	0	0	5	3	1	1	1	1	0	0	0
drill_M_D_n012_t05376	36	rec_drill_M_D_n012_t05376.jsonl	-1.0	16	2	3	3	5	0	0	0	1	0	1	1	0	0	1	1	1
drill_M_D_n012_t05376	37	rec_drill_M_D_n012_t05376.jsonl	-1.0	23	2	2	3	7	0	0	0	3	1	4	3	1	1	1	1	1
drill_M_D_n012_t05376	38	rec_drill_M_D_n012_t05376.jsonl	1.0	17	8	0	4	8	0	0	0	4	3	0	0	0	0	1	1	1
drill_M_D_n012_t05376	39	rec_drill_M_D_n012_t05376.jsonl	-1.0	17	5	2	4	6	0	0	0	5	2	6	6	1	0	0	0	0
drill_M_D_n012_t05376	40	rec_drill_M_D_n012_t05376.jsonl	-1.0	14	1	2	5	7	0	0	0	1	1	0	0	0	0	1	1	0
drill_M_D_n012_t05376	41	rec_drill_M_D_n012_t05376.jsonl	1.0	18	6	1	4	9	0	0	0	5	3	1	1	0	0	1	1	1
drill_M_D_n012_t05376	42	rec_drill_M_D_n012_t05376.jsonl	-1.0	14	4	1	5	7	0	0	0	2	1	0	0	0	0	0	0	0
drill_M_D_n012_t05376	43	rec_drill_M_D_n012_t05376.jsonl	1.0	18	2	5	4	9	0	0	0	7	2	1	1	0	0	1	1	0
drill_M_D_n012_t05376	44	rec_drill_M_D_n012_t05376.jsonl	1.0	19	6	1	5	7	1	1	0	8	5	3	0	0	0	2	2	1
drill_M_D_n012_t05376	45	rec_drill_M_D_n012_t05376.jsonl	-1.0	11	0	None	4	5	0	0	0	1	1	0	0	2	2	0	0	0
drill_M_D_n012_t05376	46	rec_drill_M_D_n012_t05376.jsonl	1.0	17	6	1	5	5	0	0	0	19	5	1	1	1	1	0	0	1
drill_M_D_n012_t05376	47	rec_drill_M_D_n012_t05376.jsonl	-1.0	12	3	3	4	6	0	0	0	1	1	0	0	0	0	0	0	0
drill_M_D_n012_t05376	48	rec_drill_M_D_n012_t05376.jsonl	1.0	13	5	1	3	4	0	0	0	2	2	1	1	0	0	1	1	0
drill_M_D_n012_t05376	49	rec_drill_M_D_n012_t05376.jsonl	1.0	28	5	7	2	8	0	0	0	15	4	4	4	3	3	0	0	1
