set	game	file	r	turns	creatures	first_creature_own_turn	lands_by4	lands	nin_windows	nin_taken	nin_opp_turns	flash_inst_off	flash_inst_taken	ctr_off	ctr_taken	rem_n	rem_best	selfrem_off	selfrem_taken	rh_blight
drill_M_D_n018_t05888	0	rec_drill_M_D_n018_t05888.jsonl	1.0	17	2	0	3	4	0	0	0	62	1	4	0	1	1	0	0	0
drill_M_D_n018_t05888	1	rec_drill_M_D_n018_t05888.jsonl	-1.0	15	2	3	4	6	0	0	0	40	0	1	1	0	0	0	0	0
drill_M_D_n018_t05888	2	rec_drill_M_D_n018_t05888.jsonl	-1.0	18	3	1	4	4	0	0	0	37	1	3	3	2	1	0	0	1
drill_M_D_n018_t05888	3	rec_drill_M_D_n018_t05888.jsonl	1.0	23	2	2	4	8	0	0	0	152	1	11	1	1	1	19	1	1
drill_M_D_n018_t05888	4	rec_drill_M_D_n018_t05888.jsonl	1.0	29	0	None	3	9	0	0	0	80	1	4	0	0	0	0	0	0
drill_M_D_n018_t05888	5	rec_drill_M_D_n018_t05888.jsonl	-1.0	21	1	1	4	5	0	0	0	139	1	2	1	2	1	0	0	1
drill_M_D_n018_t05888	6	rec_drill_M_D_n018_t05888.jsonl	-1.0	22	4	0	2	4	1	1	1	60	2	0	0	0	0	0	0	0
drill_M_D_n018_t05888	7	rec_drill_M_D_n018_t05888.jsonl	1.0	20	1	4	4	9	2	2	0	105	2	2	0	0	0	2	1	1
drill_M_D_n018_t05888	8	rec_drill_M_D_n018_t05888.jsonl	-1.0	16	1	3	2	2	0	0	0	56	2	2	1	1	1	0	0	0
drill_M_D_n018_t05888	9	rec_drill_M_D_n018_t05888.jsonl	1.0	14	2	3	4	7	0	0	0	36	2	0	0	0	0	0	0	0
drill_M_D_n018_t05888	10	rec_drill_M_D_n018_t05888.jsonl	1.0	17	1	3	4	4	0	0	0	35	1	1	0	3	3	0	0	1
drill_M_D_n018_t05888	11	rec_drill_M_D_n018_t05888.jsonl	1.0	18	1	3	4	4	0	0	0	79	1	0	0	1	1	0	0	0
drill_M_D_n018_t05888	12	rec_drill_M_D_n018_t05888.jsonl	-1.0	16	0	None	3	3	0	0	0	83	1	0	0	0	0	1	1	0
