set	game	file	r	turns	creatures	first_creature_own_turn	lands_by4	lands	nin_windows	nin_taken	nin_opp_turns	flash_inst_off	flash_inst_taken	ctr_off	ctr_taken	rem_n	rem_best	selfrem_off	selfrem_taken	rh_blight
drill_M_D_n021_t06144	0	rec_drill_M_D_n021_t06144.jsonl	1.0	19	3	3	3	5	0	0	0	41	2	4	1	1	1	0	0	0
drill_M_D_n021_t06144	1	rec_drill_M_D_n021_t06144.jsonl	-1.0	15	3	3	4	6	0	0	0	24	2	1	1	0	0	0	0	0
drill_M_D_n021_t06144	2	rec_drill_M_D_n021_t06144.jsonl	1.0	21	6	1	4	4	0	0	0	34	2	6	3	2	2	0	0	2
drill_M_D_n021_t06144	3	rec_drill_M_D_n021_t06144.jsonl	1.0	14	3	2	4	6	0	0	0	7	2	0	0	1	1	0	0	1
drill_M_D_n021_t06144	4	rec_drill_M_D_n021_t06144.jsonl	1.0	31	2	8	3	9	0	0	0	20	2	3	1	0	0	0	0	0
drill_M_D_n021_t06144	5	rec_drill_M_D_n021_t06144.jsonl	1.0	26	6	1	4	6	0	0	0	15	4	4	1	2	1	0	0	1
drill_M_D_n021_t06144	6	rec_drill_M_D_n021_t06144.jsonl	1.0	23	7	0	2	4	0	0	0	35	4	1	0	0	0	7	2	1
drill_M_D_n021_t06144	7	rec_drill_M_D_n021_t06144.jsonl	1.0	22	2	4	4	9	0	0	0	24	2	2	0	0	0	1	1	1
drill_M_D_n021_t06144	8	rec_drill_M_D_n021_t06144.jsonl	-1.0	18	4	2	2	2	0	0	0	14	4	3	2	2	2	0	0	0
drill_M_D_n021_t06144	9	rec_drill_M_D_n021_t06144.jsonl	1.0	18	6	2	4	8	1	1	0	24	3	0	0	0	0	3	1	0
drill_M_D_n021_t06144	10	rec_drill_M_D_n021_t06144.jsonl	1.0	19	3	2	4	4	0	0	0	14	2	1	0	3	2	0	0	1
drill_M_D_n021_t06144	11	rec_drill_M_D_n021_t06144.jsonl	-1.0	17	4	4	4	4	0	0	0	21	2	0	0	0	0	1	1	0
drill_M_D_n021_t06144	12	rec_drill_M_D_n021_t06144.jsonl	1.0	17	3	3	3	3	2	2	2	18	3	0	0	0	0	1	1	0
drill_M_D_n021_t06144	13	rec_drill_M_D_n021_t06144.jsonl	1.0	26	3	6	1	4	0	0	0	37	3	4	0	1	1	6	1	1
drill_M_D_n021_t06144	14	rec_drill_M_D_n021_t06144.jsonl	1.0	15	5	2	5	7	0	0	0	36	4	1	1	1	1	1	1	1
drill_M_D_n021_t06144	15	rec_drill_M_D_n021_t06144.jsonl	1.0	30	5	5	2	9	0	0	0	8	3	5	0	4	4	0	0	1
drill_M_D_n021_t06144	16	rec_drill_M_D_n021_t06144.jsonl	-1.0	24	6	0	1	2	0	0	0	31	5	0	0	2	1	2	2	2
drill_M_D_n021_t06144	17	rec_drill_M_D_n021_t06144.jsonl	-1.0	17	3	1	4	6	0	0	0	20	1	3	3	1	0	0	0	0
drill_M_D_n021_t06144	18	rec_drill_M_D_n021_t06144.jsonl	-1.0	22	4	1	5	8	0	0	0	49	3	1	1	2	2	0	0	1
drill_M_D_n021_t06144	19	rec_drill_M_D_n021_t06144.jsonl	1.0	26	5	1	2	6	0	0	0	27	2	3	1	2	2	0	0	1
drill_M_D_n021_t06144	20	rec_drill_M_D_n021_t06144.jsonl	1.0	17	3	4	5	7	0	0	0	23	4	0	0	0	0	0	0	0
